sortedNum,requireLen,example,tipsLen,quesClass,Fundamentals,Algorithms,Common.Data.Structures,Advanced.Data.Structures,Techniques,Math,Other,otherCom,huawei,bytedance,microsoft,google,amazon,tencent,recursion,linked-list,math,hash-table,string,binary-search,divide-and-conquer,dynamic-programming,greedy,two-pointers,sorting,backtracking,heap-priority-queue,simulation,depth-first-search,binary-tree,breadth-first-search,union-find,graph,geometry,database,topological-sort,prefix-sum,shortest-path,bitmask,difficulty,require,tips,ifcom,topicNum
10,82,2,40,题库,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个长度为的整数数组。有条垂线，第条线的两个端点是和。找出其中的两条线，使得它们与轴共同构成的容器可以容纳最多的水。返回容器可以储存的最大水量。你不能倾斜容器。,n==height.length2<=n<=100<=height[i]<=10,1,3
11,177,5,93,题库,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,"罗马数字包含以下七种字符：，，，，，和。例如，罗马数字2写做，即为两个并列的1。12写做，即为+。27写做,即为++。通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如4不写做，而是。数字1在数字5的左边，所表示的数等于大数5减小数1得到的数值4。同样地，数字9表示为。这个特殊的规则只适用于以下六种情况：给你一个整数，将其转为罗马数字。",可以放在(5)和(10)的左边，来表示4和9。可以放在(50)和(100)的左边，来表示40和90。可以放在(500)和(1000)的左边，来表示400和900。1<=num<=3999,1,3
12,173,5,270,题库,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,"罗马数字包含以下七种字符:，，，，，和。例如，罗马数字写做，即为两个并列的1。写做，即为+。写做,即为++。通常情况下，罗马数字中小的数字在大的数字的右边。但也存在特例，例如4不写做，而是。数字1在数字5的左边，所表示的数等于大数5减小数1得到的数值4。同样地，数字9表示为。这个特殊的规则只适用于以下六种情况：给定一个罗马数字，将其转换成整数。","可以放在(5)和(10)的左边，来表示4和9。可以放在(50)和(100)的左边，来表示40和90。可以放在(500)和(1000)的左边，来表示400和900。1<=s.length<=15仅含字符('I','V','X','L','C','D','M')题目数据保证是一个有效的罗马数字，且表示整数在范围[1,3999]题目所给测试用例皆符合罗马数字书写规则，不会出现跨位等情况。IL和IM这样的例子并不符合题目要求，49应该写作XLIX，999应该写作CMXCIX。关于罗马数字的详尽书写规则，可以参考罗马数字-Mathematics",1,3
13,40,2,58,题库,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,编写一个函数来查找字符串数组中的最长公共前缀。如果不存在公共前缀，返回空字符串。,1<=strs.length<=2000<=strs[i].length<=200strs[i]仅由小写英文字母组成,1,2
14,61,3,36,题库,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个整数数组，判断是否存在三元组满足、且，同时还满足。请你返回所有和为且不重复的三元组。答案中不可以包含重复的三元组。,3<=nums.length<=3000-10<=nums[i]<=10,1,3
15,64,2,55,题库,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个长度为的整数数组和一个目标值。请你从中选出三个整数，使它们的和与最接近。返回这三个数的和。假定每组输入只存在恰好一个解。,3<=nums.length<=1000-1000<=nums[i]<=1000-10<=target<=10,1,3
16,69,3,46,题库,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个仅包含数字的字符串，返回所有它能表示的字母组合。答案可以按返回。给出数字到字母的映射如下（与电话按键相同）。注意1不对应任何字母。,"0<=digits.length<=4digits[i]是范围['2','9']的一个数字。",1,3
17,76,2,106,题库,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个由个整数组成的数组，和一个目标值。请你找出并返回满足下述全部条件且的四元组（若两个四元组元素一一对应，则认为两个四元组重复）：你可以按返回答案。,"0<=a,b,c,d<n和互不相同nums[a]+nums[b]+nums[c]+nums[d]==target1<=nums.length<=200-10<=nums[i]<=10-10<=target<=10",1,3
18,44,3,42,题库,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个链表，删除链表的倒数第个结点，并且返回链表的头结点。你能尝试使用一趟扫描实现吗？,链表中结点的数目为1<=sz<=300<=Node.val<=1001<=n<=sz,1,2
19,36,3,29,题库,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给定一个只包括，，，，，的字符串，判断字符串是否有效。有效字符串需满足：,1<=s.length<=10仅由括号'()[]{}'组成,1,2
20,44,3,47,题库,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,将两个升序链表合并为一个新的链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。,"两个链表的节点数目范围是[0,50]-100<=Node.val<=100和均按非递减顺序排列",1,2
21,39,2,7,题库,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,数字代表生成括号的对数，请你设计一个函数，用于能够生成所有可能的并且括号组合。,1<=n<=8,1,3
22,49,3,108,题库,0,2,2,0,0,0,0,1,0,1,0,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给你一个链表数组，每个链表都已经按升序排列。请你将所有链表合并到一个升序链表中，返回合并后的链表。,k==lists.length0<=k<=10^40<=lists[i].length<=500-10^4<=lists[i][j]<=10^4lists[i]按排列lists[i].length的总和不超过10^4,1,4
23,66,3,34,题库,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个链表，两两交换其中相邻的节点，并返回交换后链表的头节点。你必须在不修改节点内部的值的情况下完成本题（即，只能进行节点交换）。,"链表中节点的数目在范围[0,100]0<=Node.val<=100",1,2
24,138,2,39,题库,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给你链表的头节点，每个节点一组进行翻转，请你返回修改后的链表。是一个正整数，它的值小于或等于链表的长度。如果节点总数不是的整数倍，那么请将最后剩余的节点保持原有顺序。你不能只是单纯的改变节点内部的值，而是需要实际进行节点交换。你可以设计一个只用额外内存空间的算法解决此问题吗？,链表中的节点数目为1<=k<=n<=50000<=Node.val<=1000,1,2
25,127,2,114,题库,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给你一个的数组，请你删除重复出现的元素，使每个元素，返回删除后数组的新长度。元素的应该保持。然后返回中唯一元素的个数。考虑的唯一元素的数量为，你需要做以下事情确保你的题解可以被通过：系统会用下面的代码来测试你的题解:如果所有断言都通过，那么您的题解将被。,更改数组nums，使nums的前个元素包含唯一元素，并按照它们最初在nums中出现的顺序排列。nums的其余元素与nums的大小不重要。返回1<=nums.length<=3*10-10<=nums[i]<=10nums已按排列,1,2
26,167,2,44,题库,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给你一个数组和一个值，你需要移除所有数值等于的元素，并返回移除后数组的新长度。不要使用额外的数组空间，你必须仅使用额外空间并。元素的顺序可以改变。你不需要考虑数组中超出新长度后面的元素。为什么返回数值是整数，但输出的答案是数组呢?请注意，输入数组是以方式传递的，这意味着在函数里修改输入数组对于调用者是可见的。你可以想象内部操作如下:,0<=nums.length<=1000<=nums[i]<=500<=val<=100,1,2
27,53,2,61,题库,2,0,0,0,1,0,0,1,0,0,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给你两个字符串和，请你在字符串中找出字符串的第一个匹配项的下标（下标从0开始）。如果不是的一部分，则返回。,"1<=haystack.length,needle.length<=10haystack和needle仅由小写英文字符组成",1,3
28,129,2,33,题库,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你两个整数，被除数和除数。将两数相除，要求乘法、除法和取余运算。整数除法应该向零截断，也就是截去（）其小数部分。例如，将被截断为，将被截断至。返回被除数除以除数得到的。假设我们的环境只能存储有符号整数，其数值范围是。本题中，如果商，则返回；如果商，则返回。,"<=dividend,divisor<=2-1divisor!=0",1,2
29,76,3,196,题库,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给定一个字符串和一个字符串数组中所有字符串。中的是指一个包含中所有字符串以任意顺序排列连接起来的子串。返回所有串联子串在中的开始索引。你可以以返回答案。,"例如，如果words=[""ab"",""cd"",""ef""]，那么""abcdef""""abefcd""""cdabef""""cdefab""""efabcd""，和""efcdab""都是串联子串。""acdbef""不是串联子串，因为他不是任何words排列的连接。1<=s.length<=101<=words.length<=50001<=words[i].length<=30words[i]和由小写英文字母组成",1,3
30,190,3,199,题库,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,整数数组的一个就是将其所有成员以序列或线性顺序排列。整数数组的是指其整数的下一个字典序更大的排列。更正式地，如果数组的所有排列根据其字典顺序从小到大排列在一个容器中，那么数组的就是在这个有序容器中排在它后面的那个排列。如果不存在下一个更大的排列，那么这个数组必须重排为字典序最小的排列（即，其元素按升序排列）。给你一个整数数组，找出的下一个排列。必须修改，只允许使用额外常数空间。,"例如，arr=[1,2,3]，以下这些都可以视作arr的排列：[1,2,3][1,3,2][3,1,2][2,3,1]例如，arr=[1,2,3]的下一个排列是[1,3,2]类似地，arr=[2,3,1]的下一个排列是[3,1,2]arr=[3,2,1]的下一个排列是[1,2,3]，因为[3,2,1]不存在一个字典序更大的排列。1<=nums.length<=1000<=nums[i]<=100",1,2
31,36,3,29,题库,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给你一个只包含和的字符串，找出最长有效（格式正确且连续）括号子串的长度。,0<=s.length<=3*10s[i]为'('或')',1,3
32,127,3,91,题库,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,整数数组按升序排列，数组中的值。在传递给函数之前，在预先未知的某个下标（）上进行了，使数组变为（下标计数）。例如，在下标处经旋转后可能变为。给你的数组和一个整数，如果中存在这个目标值，则返回它的下标，否则返回。你必须设计一个时间复杂度为的算法解决此问题。,1<=nums.length<=5000-10<=nums[i]<=10nums中的每个值都独一无二题目数据保证nums在预先未知的某个下标上进行了旋转-10<=target<=10,1,2
33,88,3,61,题库,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个按照非递减顺序排列的整数数组，和一个目标值。请你找出给定目标值在数组中的开始位置和结束位置。如果数组中不存在目标值，返回。你必须设计并实现时间复杂度为的算法解决此问题。,0<=nums.length<=10-10<=nums[i]<=10nums是一个非递减数组-10<=target<=10,1,2
34,75,3,65,题库,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EASY,给定一个排序数组和一个目标值，在数组中找到目标值，并返回其索引。如果目标值不存在于数组中，返回它将会被按顺序插入的位置。请必须使用时间复杂度为的算法。,1<=nums.length<=10-10<=nums[i]<=10nums为无重复元素升序排列数组-10<=target<=10,1,2
35,34,2,118,题库,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,请你判断一个的数独是否有效。只需要，验证已经填入的数字是否有效即可。,一个有效的数独（部分已被填充）不一定是可解的。只需要根据以上规则，验证已经填入的数字是否有效即可。空白格用'.'表示。board.length==9board[i].length==9board[i][j]是一位数字（1-9）或者'.',1,3
36,49,1,67,题库,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,编写一个程序，通过填充空格来解决数独问题。数独的解法需：数独部分空格内已填入了数字，空白格用表示。,board.length==9board[i].length==9board[i][j]是一位数字或者'.'题目数据输入数独仅有一个解,1,4
37,211,2,76,题库,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个正整数，输出外观数列的第项。「外观数列」是一个整数序列，从数字1开始，序列中的每一项都是对前一项的描述。你可以将其视作是由递归公式定义的数字字符串序列：前五项如下：要一个数字字符串，首先要将字符串分割为数量的组，每个组都由连续的最多组成。然后对于每个组，先描述字符的数量，然后描述字符，形成一个描述组。要将描述转换为数字字符串，先将每组中的字符数量用数字替换，再将所有描述组连接起来。例如，数字字符串的描述如下图：,"countAndSay(1)=""1""countAndSay(n)是对countAndSay(n-1)的描述，然后转换成另一个数字字符串。1<=n<=30",1,1
38,109,3,76,题库,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给你一个的整数数组和一个目标整数，找出中可以使数字和为目标数的所有，并以列表形式返回。你可以按返回这些组合。中的数字可以。如果至少一个数字的被选数量不同，则两种组合是不同的。对于给定的输入，保证和为的不同组合数少于个。,1<=candidates.length<=302<=candidates[i]<=40candidates的所有元素互不相同1<=target<=40,1,2
39,64,2,58,题库,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个候选人编号的集合和一个目标数，找出中所有可以使数字和为的组合。中的每个数字在每个组合中只能使用。解集不能包含重复的组合。,1<=candidates.length<=1001<=candidates[i]<=501<=target<=30,1,2
40,31,3,34,题库,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给你一个未排序的整数数组，请你找出其中没有出现的最小的正整数。,1<=nums.length<=5*10<=nums[i]<=2-1,1,2
41,43,2,42,题库,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,给定个非负整数表示每个宽度为的柱子的高度图，计算按此排列的柱子，下雨之后能接多少雨水。,n==height.length1<=n<=2*100<=height[i]<=10,1,5
42,73,2,75,题库,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定两个以字符串形式表示的非负整数和，返回和的乘积，它们的乘积也表示为字符串形式。不能使用任何内置的BigInteger库或直接将输入转换为整数。,"1<=num1.length,num2.length<=200num1和num2只能由数字组成。num1和num2都不包含任何前导零，除了数字0本身。",1,3
43,36,3,91,题库,1,3,0,0,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HARD,判定匹配成功的充要条件是：字符模式必须能够输入字符串（而不是部分匹配）。,"'?'可以匹配任何单个字符。'*'可以匹配任意字符序列（包括空字符序列）。0<=s.length,p.length<=2000仅由小写英文字母组成仅由小写英文字母、'?'或'*'组成",1,4
44,83,2,69,题库,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个长度为的整数数组。初始位置为。每个元素表示从索引向前跳转的最大长度。换句话说，如果你在处，你可以跳转到任意处:返回到达的最小跳跃次数。生成的测试用例可以到达。,0<=j<=nums[i]i+j<n1<=nums.length<=100<=nums[i]<=1000题目保证可以到达nums[n-1],1,3
45,26,3,47,题库,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个不含重复数字的数组，返回其。你可以返回答案。,1<=nums.length<=6-10<=nums[i]<=10nums中的所有整数互不相同,1,2
46,27,2,33,题库,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MEDIUM,给定一个可包含重复数字的序列，返回所有不重复的全排列。,1<=nums.length<=8-10<=nums[i]<=10,1,2
